teks,label
"Kata orang, efek motivasi tidak bertahan lama. Nah, begitu juga mandi - karena itu sebaiknya Anda memotivasi diri setiap hari.",6
"Tuhan menciptakan seseorang dalam hidup kita bukan untuk menjadi jodoh kita, melainkan sebagai sosok yang memotivasi dan lebih menghidupkan hidup.",6
"Clear, tujuan tertulis memiliki efek luar biasa pada pemikiran Anda. Mereka memotivasi Anda dan menggembleng Anda ke dalam tindakan. Mereka merangsang kreativitas Anda, melepaskan energi Anda, dan membantu Anda untuk mengatasi penundaan sebanyak faktor lainnya.",6
"Orang-orang yang tidak mampu memotivasi diri mereka sendiri harus puas denagn menjadi orang-orang yang biasa, walau bagaimanapun hebatnya bakat mereka.",6
"Ketika kami masih remaja, Paul Allen mengajar saya banyak hal tentang perangkat keras komputer, dan mendorong saya untuk meyakini - dan mempertaruhkan keberuntungan pada - prosesor mikro. Saya cukup beruntung, di usia yang masih muda, menemukan sesuatu yang saya cintai dan mempesona saya - dan masih mempesona saya. Dan saya beruntung memiliki orangtua yang memotivasi serta mendorong saya.",6
"Teknologi hanya sebuah alat. Dalam hal membuat anak-anak bekerja sama dan memotivasi mereka, akan tetapi guru lah yang terpenting.",6
"Dua prinsip penting seseorang yang bisa memotivasi seluruh hidupnya, melakukan apa yang bisa dinikmati, percaya akan gagasan-gagasannya.",6
"Untuk sukses, Anda harus menemukan sesuatu sebagai pegangan, sesuatu untuk memotivasi Anda, sesuatu untuk menginspirasi Anda",6
"Cinta bukan mengajar kita lemah, tetapi membangkitkan kekuatan. Cinta bukan mengajar kita menghinakan diri, tetapi menghembuskan kegagahan. Cinta bukan melemahkan semangat, tetapi membangkitkan semangat.",6
"Tiap orang bisa punya mimpi, tapi tak semua bisa bangkitkan semangat tinggi.",6
"Tetap sabar, semangat, dan tersenyum. Karena kamu sedang menimba ilmu di Universitas Kehidupan. Allah menaruhmu di tempatmu yang sekarang bukan karena kebetulan.",6
"Sukses berjalan dari satu kegagalan ke kegagalan yang lain, tanpa kita kehilangan semangat.",6
Semangat yang lemah buanglah jauh jiwa yang kecil segera besarkan yakin percaya iman pun teguh zaman hadapan penuh harapan.,6
"Daun yang jatuh tak pernah membenci angin. Dia membiarkan dirinya jatuh begitu saja. Tak melawan, Mengikhlaskan semua.",6
"Rasa sedih melihat teman baik menangis ternyata bisa berubah menjadi semangat menggebu tiada tara. Rasa pilu melihat teman baik teraniaya, bahkan konon bisa mengubah seorang pengecut menjadi panglima perang.",6
Hati nurani yang hidup akan membuat seseorang sadar telah berbuat kesalahan dan semangat untuk memperbaikinya sehingga kesalahan tidak akan terulang lagi,6
"Jika pada awalnya Anda tidak berhasil, Anda melakukan kesalahan. Belajar dari pengalaman. Coba lagi, tapi dengan pendekatan yang berbeda.",6
Janganlah engkau mengucapkan perkataan yang engkau sendiri tak suka mendengarnya jika orang lain mengucapkannya kepadamu.,6
Jangan berhenti berdoa untuk yang terbaik bagi orang yang kau cintai.,6
"Jika mereka bertanya padaku apakah aku menyesal, jawabanku adalah tidak. Berhasil ataupun gagal, aku bangga hidup di atas keputusan yang kubuat sendiri.",6
Kurang semangat mengakibatkan lebih banyak kegagalan berbanding kurangnya kebijaksanaan atau kemahiran.,6
"Sesekali berhentilah sekedar untuk bersantai. Bukan untuk terlena, namun membangun semangat untuk perjuangan berikutnya.",6
Hal pertama yang kubangun dalam diriku untuk bisa menghadapi hari dengan semangat adalah menciptakan sebanyak-banyaknya pikiran positif.,6
Ada tiga tahapan penting untuk mencapai kesuksesan: 1. Memiliki tujuan yang jelas. 2. Menggunakan cara yang baik. 3. Mempunyai semangat juang yang tinggi.,6
Semangat yang lemah buanglah jauh jiwa yang kecil segera besarkan yakin percaya iman pun teguh zaman hadapan penuh harapan.,6
"Tetap sabar, semangat, dan tersenyum. Karena kamu sedang menimba ilmu di Universitas Kehidupan. Allah menaruhmu di tempatmu yang sekarang bukan karena kebetulan.",6
Hidup memang tak semudah kalimat-kalimat bijak. Tapi lebih bijaksana menjadikan kalimat itu sebagai penyemangat dari pada terus mengutuki dan tak berbenah apa-apa.,6
Saya tidak peduli dengan pujian atau kesalahan siapa pun. Saya hanya mengikuti perasaan saya sendiri.,6
"Teguran dari orang lain merupakan suatu pujian!",6
"Terlalu sering kita meremehkan kekuatan sentuhan, senyuman, kata kata yang ramah, telinga yang mau mendengar, pujian yang jujur, atau tindakan kecil dari kepedulian, yang semuanya memiliki potensi untuk mengubah kehidupan di sekitar.",6
Jika ada yang menghina anda anggap saja sebagai pujian bahwa sebenarnya dia berjam-jam telah memikirkan anda sedang anda tidak sedetipun memikirkan dia.,6
"Apapun yang terjadi dan bagaimanapun hasilnya, kamu tetap hebat hari ini. Bersemangatlah!",6
Kamu bersinar lebih terang dari bulan di malam paling terang dan kamu lebih bersinar dari matahari di hari yang tidak berawan,6
Jangan membandingkan hidup Anda dengan orang lain. Tidak ada perbandingan antara matahari dan bulan. Mereka bersinar saat waktunya tiba,6
Seratus itu sempurna. Kamu cuma 1 dan lebih sempurna,6
"Jangan menangis karena sudah berakhir, tersenyumlah karena sudah terjadi",6
"Bersantailah, nikmati saja hidup, lebih banyak tersenyum, lebih banyak tertawa, dan jangan terlalu marah tentang banyak hal.",6
"Tersenyumlah, itu adalah kunci yang sesuai dengan kunci hati setiap orang.",6
Satu senyuman berbicara lebih keras dari seratus kata,6
"Tersenyum adalah cara terbaik untuk menghadapi setiap masalah, untuk menghancurkan setiap ketakutan, dan untuk menyembunyikan setiap rasa sakit",6
"Karena senyummu, kamu membuat hidup lebih indah",6
"Tersenyumlah, tersenyumlah, tersenyumlah sesering mungkin. Senyumanmu akan sangat mengurangi ketegangan pikiranmu.",6
"Anda telah mencapai puncak kesuksesan begitu Anda tidak lagi tertarik pada uang, pujian atau publisitas.",7
"Ketika kalian menciptakan sebuah kreasi. Kemudian, kreasi kalian sudah berhasil di hadapan publik. Apa pun reaksi publik, itu harta buat kalian. Apakah pujian, cacian atau bahkan ketidakpedulian.",7
"Kemenangan bukanlah prioritas utama dalam suatu perlombaan, tapi juga dapat menjadi pengalaman dan motivasi diri.",7
"Hari ini adalah kemenangan atas diri Anda dari kemarin, besok adalah kemenangan Anda atas orang yang lebih lemah.",7
Bila telah diperjuangkan dengan sungguh-sungguh baik hasilnya sukses atau gagal sesungguhnya semangat perjuangan itu adalah kesuksesan tersendiri.,7
"Selama masih ada kesempatan, jangan pernah matikan semangat untuk raih kemenangan.",7
Tidak ada sesuatu pun yang pernah berhasil dengan baik jika pelaksanaanya tidak di bantu dengan semangat yang kuat.,7
"Jika kita siap menghadapi yang terburuk, setiap langkah kemudahan akan menjadi langkah syukur dan semangat kita.",7
Barangsiapa berhasil mengalahkan ketakutannya akan menjadi orang yang benar-benar bebas.,7
"Jangan menilai saya dari kesuksesan, tetapi nilai saya dari seberapa sering saya jatuh dan berhasil bangkit kembali.",7
"Bagaimanapun sulitnya hidup, selalu ada sesuatu yang dapat Anda lakukan dan berhasil padanya.",7
"Sebuah karya akan memicu inspirasi. Teruslah berkarya. Jika Anda berhasil, teruslah berkarya. Jika Anda gagal, teruslah berkarya. Jika Anda tertarik, teruslah berkarya. Jika Anda bosan, teruslah berkarya.",7
Tidak ada yang menghentikan seorang manusia yang berkeinginan untuk berkembang. Setiap hambatan hanyalah sebuah pelajaran untuk mengembangkan kekuatannya. Hal itu merupakan penguatan keinginan untuk berhasil.,7
"Saya telah pelajari ini, setidaknya, melalui eksperimen saya: bahwa jika seseorang melangkah dengan percaya diri untuk mewujudkan mimpinya, dan berusaha keras untuk hidup dalam kehidupan yang dia angan-angankan, maka dia akan berhasil secara tak terduga-duga dalam kesehariannya.",7
"Jika kau telah berhasil menggapai mimpimu yang menggantung setinggi bintang di langit, jangan lupa menginjakkan kakimu kembali ke bumi.",7
"Tidak ada rumus kecuali anda harus berhasil. Harus sukses. Kalau kita gagal, kita siap bangkit lagi. Kalau kita patah, kita akan bangkit lagi.",7
Orang yang berhasil adalah orang yang dapat meletakkan dasar yang kuat dengan batu-batu yang orang lain lemparkan kepadanya.,7
Jerih payah hanya akan berhasil kalau pelakunya tidak mudah putus asa.,7
Orang yang berhasil adalah mereka yang punya kebebasan mengatur diri sendiri sejak muda dan bisa menjaga kepercayaan tersebut dengan hal yang positif.,7
Jangan pernah meragukan keberhasilan. Sekelompok kecil orang yang bertekad mengubah dunia. Karena hanya kelompok seperti itulah yang pernah berhasil melakukannya.,7
Kenikmatan terbesar dalam hidup adalah berhasil melakukan sesuatu yang orang lain kira Anda tak mampu melakukannya.,7
Selalu ingat bahwa ketetapan hati Anda untuk berhasil lebih penting daripada hal-hal lain.,7
"Jika kamu menyerah hanya karena kata-kata orang lain yang ingin menjatuhkanmu, berarti kamu gagal dan orang itu berhasil.",7
"Pasang niat kuat, berusaha keras, dan berdoa khusyuk, lambat laun apa yang kalian perjuangkan akan berhasil.",7
"Titik baik dalam kehidupan mereka yang berhasil biasanya datang pada saat suatu krisis, yang memperkenalkan mereka kepada ""diri mereka yang lain“.",7
"Anda akan puas dia akhir hari apabila di hari itu Anda berhasil menyelesaikan sesuatu, bukan hanya berdiam diri.",7
"Orang yang berhasil akan mengambil manfaat dari kesalahan-kesalahan yang ia lakukan, dan akan mencoba kembali untuk melakukan dalam suatu cara yang berbeda.",7
"Jangan ukur sukses dari pencapaian diri sendiri, tapi dari daya dan upaya kita untuk membuat orang lain berhasil dan bahagia.",7
"Kita adalah pahlawan untuk diri kita masing-masing, kitalah yang menentukan rancangan untuk hidup kita mau berhasil atau gagal untuk diri kita.",7
"Sesuatu yang belum dekerjakan, seringkali tampak mustahil, kita baru yakin kalau kita telah berhasil melakukannya dengan baik.",7
Tidak ada perbandingan antara apa yang hilang dengan apa yang tidak berhasil dan apa yang hilang dengan apa yang tidak berusaha.,7
Ada orang yang berguna untuk diri sendiri. Ada orang yang berhasil menjadi berguna untuk keluarganya. Terakhir adalah orang-orang yang berguna untuk keluarganya.,7
Dalam sibuk pekerjaanmu ada doa dari orang-orang yang mencintaimu; agar kau berhasil dan bahagia. Agar kau mampu membuat mereka bangga.,7
"Jika kau berhasil menghakimi dirimu sendiri dengan benar, berarti kau benar-benar orang bijak.",7
"Man jadda wajada, Siapa yang bersungguh-sungguh pasti akan berhasil.",7
Nggak ada manusia yang berhasil tanpa proses.,7
"Orang yang akan menggunakan keterampilan dan imajinasi konstruktif untuk melihat berapa banyak ia dapat memberikan uang, bukan betapa sedikit yang dapat ia berikan untuk satu dolar,adalah tekad untuk berhasil.",7
"Tegas dan keras adalah sikap positif yang sangat diperlukan oleh setiap orang yang mau berhasil, terutama tegas dan keras pada kelemahan dan kemanjaan diri sendiri.",7
"Agar berhasil, keinginan Anda untuk sukses harus lebih besar daripada ketakutan Anda akan kegagalan.",7
"Bila itu pilihanmu, kau harus tekun dan berhasil.",7
"Inilah rahasia sebuah inspirasi: katakan pada diri anda bahwa ribuan dan puluhan ribu orang, tidaklah terlalu cerdas dan tentu tidak lebih cerdas daripada kita semua, telah berhasil menguasai masalah sesulit masalah yang sedang menyusahkan anda.",7
"Jaga terus impian-impian itu. Usaha dan kerja keras. Doa sebagai bentuk ikhlas. Kelak, berhasil atau tidak akan datang rasa puas.",7
"Kamu hanya membutuhkan waktu lebih lama daripada orang lain untuk mempelajari sesuatu. Namun, sekali kamu berhasil mempelajarinya, kamu dapat melakukannya lebih baik daripada orang lain. Ketekunan dan ketabahanmu menghadapi semua hal baik dan buruk serta tetap melakukannya di saat semua orang sudah menyerah adalah kekuatan terbesarmu.",7
"Kau akan berhasil dalam setiap pelajaran, dan kau harus percaya akan berhasil, dan berhasillah kau; anggap semua pelajaran mudah, dan semua akan jadi mudah; jangan takut pada pelajaran apa pun, karena ketakutan itu sendiri kebodohan awal yang akan membodohkan semua.",7
Keberhasilan sebagian besar hal tergantung pada mengetahui berapa lama yang dibutuhkan untuk berhasil.,7
Kegagalan bukanlah suatu pilihan. Setiap orang harus berhasil.,7
Kelemahan terbesar kita terletak pada menyerah. Cara paling pasti untuk berhasil adalah selalu mencoba sekali lagi.,7
"Kita akan terus merasa menderita, selama kita melihat diri kita menderita. Kita akan segera berhenti mengasihani diri sendiri seperti itu, jika kita melihat diri kita berhak untuk berhasil, dan segera bangkit dan bekerja.",7
"Kita semua dilahirkan dengan berani, percaya, dan tamak, dan sebagian besar dari kita berhasil tetap serakah.",7
"Nggak ada orang yang berhasil seumur hidupnya. Begitu juga sebaliknya, nggak ada orang yang ditakdirkan gagal.",7
Saya dengan jujur berpikir bahwa adalah lebih baik untuk gagal pada sesuatu yang Anda cintai daripada berhasil pada sesuatu yang Anda benci.,7
"Saya selalu mengamati bahwa untuk berhasil di dunia, seseorang harus terlihat gila dan bijaksana.",7
"Tidak masalah jika saya gagal. Setidaknya saya menyampaikan konsep itu kepada orang lain. Bahkan jika saya tidak berhasil, seseorang akan berhasil.",7
"Ada saat tertentu ketika Anda menyadari bahwa Anda sebenarnya baru saja meninggalkan planet ini sebentar dan tidak ada yang dapat menyentuh Anda... Ketika berhasil, sayang, Anda memiliki sayap.",7
"Agar berhasil, Anda akan segera belajar, seperti yang saya lakukan, pentingnya landasan yang kokoh dalam dasar-dasar pendidikan - literasi, baik verbal maupun numerik, dan keterampilan komunikasi.",7
"Bahaya terbesar bagi kebanyakan dari kita bukanlah target kita yang terlalu tinggi dan kita tidak berhasil mencapainya, tetapi karena target kita terlalu rendah dan kita tidak dapat mencapainya.",7
"Berhasil itu, ketika lo bisa mencintai diri lo dan mengatur masa depan lo terlebih dahulu.",7
"Dengan tidak terlalu mempedulikan apa yang orang pikirkan, saya bisa berpikir sendiri dan menyebarkan ide yang seringkali tidak populer. Dan saya berhasil dengan mereka karena, sekali lagi, saya tidak terlalu peduli dengan apa yang orang lain pikirkan.",7
"Inilah hal yang saya pikirkan tentang kehidupan - jika Anda berhasil masuk ke ruang di mana Anda tidak membutuhkan terlalu banyak, di mana overhead hidup Anda tidak terlalu bagus dan Anda cukup bahagia dan santai tanpa begitu banyak barang, Anda benar-benar terbebaskan karena Anda tidak perlu mengatakan ya pada sesuatu karena Anda ingin kulkas atau mobil lain!",7
"Jangan pernah menyesali apa yang terjadi dengan takdir kita. Kalau kita mampu mengemban dua-duanya, pasti kita akan berhasil.",7
"Jika kamu menemukan cinta dalam hatimu untuk peduli kepada orang lain, kamu akan berhasil.",7
Kegagalan tidak akan pernah melampaui saya jika tekad saya untuk berhasil cukup kuat.,7
"Keterbatasan tak ubahnya situasi yang dibuat Tuhan untuk membuat kita lebih berjuang. Jika berhasil melewati keterbatasan itu, buah perjuangan yang kita dapatkan akan lebih berkesan.",7
Kita harus melambaikan panji-panji kita lebih tinggi lagi dan menyuarakan suara kita lebih kuat lagi dan bersatu sebagai manusia. Kita akan berhasil melewati ini!,7
Manusia akan memperoleh kebahagiaan setelah berhasil melalui penderitan.,7
"Orang - orang berhasil meraih kesempatan dengan sekali sabetan, cepat membuat keputusan dan langsung bertindak. Ikutilah prinsip ini dan Anda akan mampu mewujudkan impian Anda.",7
"Rahasia besar untuk berhasil dalam percakapan adalah mengagumi sedikit, banyak mendengar; selalu tidak mempercayai alasan kita sendiri, dan terkadang alasan teman kita; tidak pernah berpura-pura cerdas, tetapi untuk membuat orang lain tampil sebanyak mungkin yang kita bisa; untuk mendengarkan apa yang dikatakan dan menjawab tujuan.",7
"Saat anda gagal, segera bangkitlah, fokuskan pikiran kembali pada impian anda, pada hal-hal lain yang menyenangkan, membahagiakan, dan membuat anda jauh lebih bersemangat. Lakukan lagi.. lagi.. lagi.. dan lagi, sampai anda berhasil menemukan dan mewujudkan impian yang anda inginkan. ",7
"""Satu momen kesabaran bisa menangkal bencana besar. Satu momen ketidaksabaran bisa menghancurkan seluruh hidup."" - Pepatah Cina",8
"""Kesabaran adalah pendamping kebijaksanaan."" - St. Augustine",8
"""Dengan cinta dan kesabaran, tidak ada yang mustahil."" - Daisaku Ikeda",8
"""Dia yang memiliki kesabaran dapat memiliki apa yang dia mau."" - Benjamin Franklin",8
"""Siapa yang tidak sabar akan kehilangan jiwa mereka."" - Francis Bacon",8
"""Kesabaran adalah kunci surga."" - Pepatah Turki",8
"""Kesabaran itu pahit, tapi buahnya manis."" - Aristoteles",8
"""Kehilangan kesabaran berarti kalah dalam pertempuran. "" - Mahatma Gandhi",8
"""Bagian utama dari iman adalah kesabaran."" - George MacDonald",8
"""Orang yang ahli dalam kesabaran adalah tuan atas segalanya."" - George Savile",8
"""Kesabaran tidak bisa didapat dalam semalam. Ini seperti membangun otot. Setiap hari Anda perlu memakainya."" - Eknath Easwaran",8
"""Berapa banyak orang yang telah mengacungkan tangan pada saat sedikit lebih banyak usaha, sedikit lebih banyak kesabaran akan mencapai kesuksesan.” - Elbert Hubbard",8
"""Bersabarlah dengan segala hal, tapi pertama-tama dengan dirimu sendiri."" - Santo Francis de",8
"""Untuk mendapatkan apa yang kamu suka, kamu harus bersabar dulu dengan apa yang kamu benci."" - AL - Ghazali",8
"""Bersabarlah. Semua hal menjadi sulit sebelum menjadi mudah. ​​"" - Saadi",8
"""Kesabaran adalah kekuatan. Kesabaran bukanlah tidak adanya tindakan; melainkan 'waktu' yang menunggu pada waktu yang tepat untuk bertindak, untuk prinsip yang benar dan dengan cara yang benar. "" - Fulton J. Sheen",8
"""Kesabaran memperkuat semangat, mempermanis amarah, menahan amarah, memadamkan iri hati, menaklukkan kesombongan, mengekang lidah, menahan tangan, dan menginjak-injak godaan."" - George Horne",8
"""Tingkat keinginan, kesabaran, ketekunan, dan kepercayaan diri kita pada akhirnya memainkan peran yang jauh lebih besar dalam kesuksesan daripada kekuatan penalaran semata."" - Robert Greene",8
"""Tidak ada kesalahan yang lebih besar dari kebencian. Dan tidak ada yang lebih hebat dari kesabaran. Jadi saya berusaha dengan segala cara untuk belajar kesabaran. "" - Buddha.",8
"""Kesabaran bukanlah kemampuan untuk menunggu, tetapi kemampuan untuk menjaga sikap yang baik saat menunggu.” - Joyce Meyer.",8
"""Kesabaran dan keheningan adalah dua energi yang kuat. Kesabaran membuatmu kuat secara mental, diam membuatmu kuat secara emosional."" - BK Shivani",8
"""Banyak orang mengira kesabaran itu tanda kelemahan. Saya pikir itu adalah kesalahan. Kemarahan adalah tanda kelemahan, sedangkan kesabaran adalah tanda kekuatan. "" - Dalai Lama",8
"""Orang bijak lebih unggul dari hinaan apa pun yang dapat ditimpakan kepadanya, dan jawaban terbaik untuk perilaku yang tidak pantas adalah kesabaran dan kesederhanaan."" - Molière",8
"""Ambillah sebuah ide, dedikasikan dirimu padanya, berjuanglah dalam kesabaran, dan matahari akan terbit untukmu."" - Swami Vivekananda",8
"""Kesabaran, ketekunan, dan keringat membuat kombinasi yang tak terkalahkan untuk sukses."" - Napoleon Hill",8
"""Kunci dari segalanya adalah kesabaran. Anda mendapatkan ayam dengan menetaskan telur, bukan dengan menghancurkannya. "" - Arnold H. Glasow",8
"""Setiap kehidupan terdiri dari kesalahan dan pembelajaran, menunggu dan tumbuh, berlatih kesabaran dan gigih."" - Billy Graham",8
"""Kesabaran adalah tanda cinta sejati. Jika Anda benar-benar mencintai seseorang, Anda akan lebih sabar dengan orang itu. "" - Thich Nhat Hanh",8
"""Mencoba memahami itu seperti berjuang di air berlumpur. Bersabarlah untuk menunggu! Diamlah dan biarkan lumpur mengendap. "" - Lao Tzu",8
"""Kesabaran adalah kemampuan untuk menghentikan motor saat Anda ingin melepaskan persneling Anda.” - Barbara Johnson",8
"""Kesabaran bukanlah penantian pasif. Kesabaran adalah penerimaan aktif dari proses yang diperlukan untuk mencapai tujuan dan impian Anda. "" - Ray Davis",8
"""Terkadang hal-hal tidak langsung jelas. Di situlah kamu perlu bersabar dan bertekun serta melihat ke mana arahnya. "" - Mary Pierce",8
"""Bersabarlah dan tangguh, suatu hari nanti rasa sakit ini akan berguna untukmu."" - Ovid",8
"""Kesabaran tidak bisa diperoleh dalam semalam. Ini seperti membangun otot. Setiap hari Anda perlu mengerjakannya. "" - Eknath Easwaran",8
"Kesabaran dan kebijaksanaan berjalan seiring, seperti dua kekasih yang bertangan satu.” - Jarod Kintz",8
"""Satu menit kesabaran, sepuluh tahun kedamaian."" - Pepatah Yunani",8
"""Hasil terjadi seiring berjalannya waktu, tidak dalam semalam. Bekerja keras, tetap konsisten, dan bersabar. """,8
"""Satu momen kesabaran bisa menangkal bencana besar. Satu momen ketidaksabaran bisa menghancurkan seluruh hidup.""",8
"""Kesabaran bukanlah tentang tidak melakukan apa-apa. Kesabaran adalah tentang terus-menerus melakukan semua yang kamu bisa. Tapi bersabar tentang hasil. """,8
"""Jika Anda bersabar di saat marah, Anda akan terhindar dari kesedihan ratusan hari.""",8
"""Bersikaplah cukup kuat untuk melepaskan dan cukup sabar untuk menunggu apa yang pantas Anda dapatkan.”",8
"""Kesabaran Anda adalah kekuatan Anda.""",8
"""Kesabaran adalah teman setia yang membawa kedamaian dalam situasi apa pun.”",8
"""Semuanya akan beres, Anda harus bersabar dan memercayai prosesnya.""",8
"""Kesabaran adalah saat Anda seharusnya marah tetapi Anda memilih untuk mengerti.”",8
"""Hal-hal baik datang kepada mereka yang percaya. Hal-hal yang lebih baik datang kepada mereka yang sabar dan hal-hal terbaik datang kepada mereka yang tidak menyerah.""",8
"""Kesabaran adalah kuncinya, karena ketika saat yang tepat tiba, itu akan sangat indah dan sangat pantas untuk ditunggu.”",8
"""Hubungan yang baik tidak terjadi begitu saja. Mereka membutuhkan waktu, kesabaran, dan dua orang yang benar-benar ingin bersama. """,8
"""Dua hal yang menentukan kita: kesabaran kita saat kita tidak memiliki apa-apa dan sikap kita saat kita memiliki segalanya.""",8
"""Kesabaran adalah kebajikan, kebajikan adalah anugerah. Keduanya disatukan membuat wajah sangat cantik. """,8
"""Sabar dengan orang lain adalah cinta, sabar dengan diri sendiri adalah harapan, sabar dengan tuhan adalah iman.”",8
